100440002102,令和2年度補正（第２回）,10,7,70
100440002102,令和2年度補正（第３回）,12,10,83.3
100440002102,令和2年度補正（第４回）,11,4,36.4
103542000202,令和2年度補正（第１回）,17,6,35.3
103542000202,令和2年度補正（第２回）,13,7,53.8
103542000202,令和2年度補正（第３回）,5,2,40
103542000202,令和2年度補正（第４回）,11,6,54.5
103542000202,令和2年度補正（第１回）,17,6,35.3
103542000202,令和2年度補正（第２回）,13,7,53.8
103542000202,令和2年度補正（第３回）,5,2,40
103542000202,令和2年度補正（第４回）,11,6,54.5
105342000102,令和2年度補正（第１回）,1,0,0
105342000102,令和2年度補正（第２回）,1,1,100
105342000102,令和2年度補正（第３回）,1,1,100
105342000102,令和2年度補正（第４回）,1,0,0
100642000702,令和2年度補正（第１回）,1,0,0
100642003002,令和2年度補正（第１回）,4,1,25
100642003002,令和2年度補正（第２回）,1,0,0
100642003002,令和2年度補正（第３回）,1,0,0
100642003002,令和2年度補正（第４回）,1,0,0
106742000502,令和2年度補正（第３回）,1,1,100
105142000102,令和2年度補正（第１回）,1,0,0
106528000102,令和2年度補正（第１回）,3,0,0
106528000102,令和2年度補正（第２回）,1,0,0
106528000102,令和2年度補正（第３回）,2,2,100
100140005202,令和2年度補正（第１回）,2,0,0
100140005202,令和2年度補正（第２回）,4,0,0
100140005202,令和2年度補正（第３回）,5,3,60
100140005202,令和2年度補正（第４回）,2,2,100
105842000102,令和2年度補正（第１回）,1,0,0
105842000102,令和2年度補正（第２回）,1,0,0
100342001302,令和2年度補正（第２回）,2,0,0
100342001302,令和2年度補正（第４回）,1,0,0
100342001302,令和2年度補正（第２回）,2,0,0
100342001302,令和2年度補正（第４回）,1,0,0
100142001902,令和2年度補正（第２回）,1,0,0
100142001902,令和2年度補正（第３回）,3,1,33.3
100142001902,令和2年度補正（第４回）,2,2,100
106742001102,令和2年度補正（第１回）,3,2,66.7
106742001102,令和2年度補正（第２回）,7,3,42.9
106742001102,令和2年度補正（第３回）,4,1,25
106742001102,令和2年度補正（第４回）,1,0,0
106742001102,令和2年度補正（第１回）,3,2,66.7
106742001102,令和2年度補正（第２回）,7,3,42.9
106742001102,令和2年度補正（第３回）,4,1,25
106742001102,令和2年度補正（第４回）,1,0,0
