100739000101,平成30年度,0,2
100739000101,令和元年度,0,1
100739000101,令和2年度,0,0
104439000101,平成26年度,0,－
104439000101,平成27年度,0,－
104439000101,平成28年度,0,－
104439000101,平成29年度,0,0
104439000101,平成30年度,0,1
104439000101,令和元年度,0,0
104439000101,令和2年度,0,0
100139000501,平成26年度,0,－
100139000501,平成27年度,0,－
100139000501,平成28年度,0,－
100139000501,平成29年度,0,0
100139000501,平成30年度,1,1
100139000501,令和元年度,0,0
100139000501,令和2年度,0,0
100539000401,平成26年度,0,－
100539000401,平成27年度,1,－
100539000401,平成28年度,0,－
100539000401,平成29年度,0,0
100539000401,平成30年度,0,0
100539000401,令和元年度,0,0
100539000401,令和2年度,0,0
100239000401,平成26年度,1,－
100239000401,平成27年度,1,－
100239000401,平成28年度,1,－
100239000401,平成29年度,0,0
100239000401,平成30年度,1,0
100239000401,令和元年度,0,0
100239000401,令和2年度,0,0
106239000102,平成26年度,0,－
106239000102,平成27年度,0,－
106239000102,平成28年度,0,－
106239000102,平成29年度,0,0
106239000102,平成30年度,0,0
106239000102,令和元年度,0,0
106239000102,令和2年度,0,0
105639000402,平成26年度,3,－
105639000402,平成27年度,1,－
105639000402,平成28年度,3,－
105639000402,平成29年度,2,0
105639000402,平成30年度,0,1
105639000402,令和元年度,3,1
105639000402,令和2年度,0,0
103039000102,平成26年度,4,－
103039000102,平成27年度,2,－
103039000102,平成28年度,1,－
103039000102,平成29年度,1,1
103039000102,平成30年度,0,1
103039000102,令和元年度,0,1
103039000102,令和2年度,0,0
101039000601,平成26年度,2,－
101039000601,平成27年度,1,－
101039000601,平成28年度,0,－
101039000601,平成29年度,0,0
101039000601,平成30年度,0,0
101039000601,令和元年度,0,0
101039000601,令和2年度,0,0
100239000301,平成26年度,0,－
100239000301,平成27年度,2,－
100239000301,平成28年度,0,－
100239000301,平成29年度,0,0
100239000301,平成30年度,0,0
100239000301,令和元年度,1,0
100239000301,令和2年度,0,0
100139000201,平成26年度,0,－
100139000201,平成27年度,0,－
100139000201,平成28年度,2,－
100139000201,平成29年度,1,0
100139000201,平成30年度,0,4
100139000201,令和元年度,0,0
100139000201,令和2年度,0,0
100339000601,平成26年度,0,－
100339000601,平成27年度,0,－
100339000601,平成28年度,1,－
100339000601,平成29年度,0,0
100339000601,平成30年度,0,0
100339000601,令和元年度,0,0
100339000601,令和2年度,0,0
104639000201,平成26年度,0,－
104639000201,平成27年度,0,－
104639000201,平成28年度,0,－
104639000201,平成29年度,1,0
104639000201,平成30年度,3,4
104639000201,令和元年度,2,0
104639000201,令和2年度,3,1
100841000901,平成26年度,0,－
100841000901,平成27年度,1,－
100841000901,平成28年度,0,－
100841000901,平成29年度,0,0
100841000901,平成30年度,0,0
100841000901,令和元年度,0,0
100841000901,令和2年度,0,0
106241000201,平成26年度,0,－
106241000201,平成27年度,0,－
106241000201,平成28年度,0,－
106241000201,平成29年度,0,0
106241000201,平成30年度,0,0
106241000201,令和元年度,0,0
106241000201,令和2年度,0,0
100441000713,平成26年度,2,－
100441000713,平成27年度,0,－
100441000713,平成28年度,1,－
100441000713,平成29年度,0,0
100441000713,平成30年度,0,0
100441000713,令和元年度,0,0
100441000713,令和2年度,0,0
100841001520,平成26年度,17,－
100841001520,平成27年度,24,－
100841001520,平成28年度,18,－
100841001520,平成29年度,13,0
100841001520,平成30年度,8,0
100841001520,令和元年度,10,0
100841001520,令和2年度,14,0
100113032927,平成26年度,9,－
100113032927,平成27年度,0,－
100113032927,平成28年度,0,－
100113032927,平成29年度,1,0
100113032927,平成30年度,1,0
100113032927,令和元年度,0,0
100113032927,令和2年度,1,0
100641000208,平成26年度,4,－
100641000208,平成27年度,0,－
100641000208,平成28年度,0,－
100641000208,平成29年度,0,0
100641000208,平成30年度,0,0
100641000208,令和元年度,0,0
100641000208,令和2年度,0,0
100141000101,平成26年度,0,－
100141000101,平成27年度,0,－
100141000101,平成28年度,0,－
100141000101,平成29年度,0,20
100141000101,平成30年度,0,6
100141000101,令和元年度,0,0
100141000101,令和2年度,0,1
100241000201,平成26年度,0,－
100241000201,平成27年度,2,－
100241000201,平成28年度,4,－
100241000201,平成29年度,0,4
100241000201,平成30年度,1,8
100241000201,令和元年度,2,2
100241000201,令和2年度,0,0
102941000101,平成26年度,0,－
102941000101,平成27年度,0,－
102941000101,平成28年度,0,－
102941000101,平成29年度,0,1
102941000101,平成30年度,0,0
102941000101,令和元年度,0,0
102941000101,令和2年度,0,0
106141000601,平成26年度,0,－
106141000601,平成27年度,0,－
106141000601,平成28年度,0,－
106141000601,平成29年度,0,0
106141000601,平成30年度,0,0
106141000601,令和元年度,0,0
106141000601,令和2年度,0,0
100941000302,平成26年度,0,－
100941000302,平成27年度,0,－
100941000302,平成28年度,0,－
100941000302,平成29年度,1,0
100941000302,平成30年度,0,0
100941000302,令和元年度,1,0
100941000302,令和2年度,0,0
100141000202,平成26年度,0,－
100141000202,平成27年度,0,－
